Rounds,Basis,JobID,Results,raw_error_ratio,run_time
0,Z(|0>),656,2.097%,0.02096632921749686,0 hr 0 min 6 sec
1,Z(|0>),661,6.365%,0.063647652513937,0 hr 0 min 0 sec
2,Z(|0>),665,8.427%,0.08427358651622618,0 hr 0 min 6 sec
3,Z(|0>),669,11.019%,0.11019067587673603,0 hr 0 min 33 sec
4,Z(|0>),673,15.091%,0.1509078543311143,0 hr 3 min 31 sec
5,Z(|0>),677,16.382%,0.16381639379694168,0 hr 17 min 6 sec
6,Z(|0>),681,19.548%,0.19547531260019235,1 hr 20 min 38 sec
7,Z(|0>),685,21.070%,0.2107029132345588,3 hr 7 min 0 sec
8,Z(|0>),689,23.783%,0.2378327729702916,5 hr 57 min 25 sec
9,Z(|0>),693,26.690%,0.26690403973801047,6 hr 46 min 26 sec
10,Z(|0>),697,27.326%,0.2732596603856803,11 hr 31 min 58 sec
0,Z(|1>),657,2.114%,0.97886262220348,0 hr 0 min 0 sec
1,Z(|1>),662,5.888%,0.9411167191430787,0 hr 0 min 0 sec
2,Z(|1>),666,8.188%,0.918120158195477,0 hr 0 min 27 sec
3,Z(|1>),670,10.531%,0.8946911846956362,0 hr 1 min 3 sec
4,Z(|1>),674,15.688%,0.8431241451338726,0 hr 2 min 9 sec
5,Z(|1>),678,16.528%,0.8347222588732023,0 hr 13 min 16 sec
6,Z(|1>),682,20.163%,0.7983655356798325,1 hr 32 min 25 sec
7,Z(|1>),686,21.736%,0.7826446225015747,3 hr 7 min 49 sec
8,Z(|1>),690,23.053%,0.7694673781175182,9 hr 4 min 41 sec
9,Z(|1>),694,26.194%,0.7380575022118683,11 hr 45 min 17 sec
10,Z(|1>),698,30.633%,0.6936723006006426,8 hr 2 min 13 sec
0,X(|+>),659,6.616%,0.0661605145257067,0 hr 0 min 0 sec
1,X(|+>),663,15.825%,0.15825045690821482,0 hr 0 min 0 sec
2,X(|+>),667,20.832%,0.2083186431287617,0 hr 0 min 43 sec
3,X(|+>),671,28.356%,0.28355722586491816,0 hr 0 min 27 sec
4,X(|+>),675,31.343%,0.3134263496137387,0 hr 1 min 45 sec
5,X(|+>),679,31.680%,0.3167992344955445,0 hr 4 min 20 sec
6,X(|+>),683,37.534%,0.3753370192575206,0 hr 22 min 16 sec
7,X(|+>),687,38.594%,0.38594301563287947,0 hr 58 min 49 sec
8,X(|+>),691,40.061%,0.40060666964418634,1 hr 38 min 53 sec
9,X(|+>),695,42.440%,0.4244006047951616,2 hr 53 min 11 sec
10,X(|+>),699,44.264%,0.4426375349633215,1 hr 28 min 12 sec
0,X(|->),660,7.174%,0.9282601902133857,0 hr 0 min 0 sec
1,X(|->),664,15.410%,0.8459049809718833,0 hr 0 min 0 sec
2,X(|->),668,23.205%,0.767952829422749,0 hr 0 min 3 sec
3,X(|->),672,24.782%,0.7521810920384946,0 hr 1 min 9 sec
4,X(|->),676,29.630%,0.7036963681168098,0 hr 1 min 47 sec
5,X(|->),680,33.141%,0.6685905440452375,0 hr 5 min 31 sec
6,X(|->),684,37.157%,0.6284349758536689,0 hr 8 min 59 sec
7,X(|->),688,37.536%,0.6246384937732397,0 hr 40 min 0 sec
8,X(|->),692,40.692%,0.5930844202379246,1 hr 17 min 34 sec
9,X(|->),696,41.385%,0.586154696714406,2 hr 3 min 28 sec
10,X(|->),700,45.348%,0.5465239786653266,1 hr 13 min 13 sec